BlogID,BlogTitle,BlogMessage,DateAdded
1,My First Post,"Hi All, I've decided to start a blog, yes I could have added one by another company but thought I’d create my own for training/learning principles etc.",2010-11-08 11:20:48 +0000
2,RSS Feeds,"I've added RSS Feeds for this blog, the Music list and the film list
They are all separate so you add only the ones you wish, if you want to.",2010-11-08 16:44:19 +0000
3,CSS3,"Just seen a video by Think Vitamin and they showed a cool <a href=""http://neography.com/experiment/circles/solarsystem/"" target=""_blank"">example</a> of the border-radius and transitions (Only in Chrome or Safari)
Also cool <a href=""http://neography.com/journal/css-transforms-font-face-experiment/"" target=""_blank"">text</a>
Check <a href=""http://webkit.org/blog-files/3d-transforms/morphing-cubes.html"" target=""_blank"">this</a> out in Safari!",2010-11-09 05:10:39 +0000
4,Quotes,"""Misquotations are the only quotations that are never misquoted."" - Hesketh Pearson",2010-11-19 03:05:11 +0000
5,Project List,"Just added a new page with the Web <a href=""/projects/"">Projects</a> I'm working on, should be an expanding list :)",2011-01-02 08:41:04 +0000
6,Code Highlighting,"I've started making more tutorials and putting them up on here.
I was using a crude method of divs and classes to highlight different code which looked ok but I'd seen it looks much better on other sites so I went looking and found <a href=""http://alexgorbatchev.com/SyntaxHighlighter/"" target=""_blank"">Syntax Highlighter</a> which does an amazing job.
I've used it on <a href=""http://alexhedley.com/testing/twitter.asp"">My Twitter integration tutorial<a/> locally and a quick hosted <a href=""http://alexhedley.com/workings/highlighter/index.html"">demo<a/>.
I think it makes the page look a lot better.
I'm gonna add it to my 599CD Classroom, hopefully in the next couple of days.",2011-02-14 10:20:49 +0000
7,Syntax Hightling Update,"So I've added a theme switcher to the syntax highlighting on the 599 pages and maybe other coding pages later, took a theme switcher I'd used from a magazine tutorial from a while back.
Need to style it so it looks better but its functional.",2011-02-16 05:06:52 +0000
8,Instagram,"I love <a href=""http://instagr.am/"" >Instagram</a> :)
I need to take more photos tho, just be more creative.

I've come across two sites since they released their <a href=""http://instagram.com/developer/"">API</a> that do some cool things.

The first is <a href=""http://instagoodies.com/"">Insta Goodies</a> ""Stickers of your Instagram photos!"" hence the reason I need to take more photos.

The next is <a href=""http://instagrid.me/"">Instagrid</a> - ""A Clean Web Gallery For Your Instagram Photos"", this is because there isn't an easy way on the web to see all your photos, you can scan through your feed on the iPhone app but it's small etc.

Hopefully more things will become available soon or make your own using the API!

Edit: <a href=""http://Hatchcraft.com/"">Hatchcraft</a> - BOO BOX – bamboo shadow box frames for your photos and art
@Hatchcraft - Twitter",2011-04-08 01:37:39 +0000
9,For Orchestra,"So I was listening to Scott Mills on BBC Radio 1 today and he was playing a few songs from <a href=""http://fororchestra.com/"">For Orchestra</a> by Walt Ribeiro.
Some cool orchestral versions of songs you might know.",2011-04-11 09:52:44 +0000
28,iOS - POST,Finally managed to get a POST to work in my iOS app.<div>Can create a login then update for the website.</div>,2014-10-25 10:28:29 +0000
